name,alt_names,ra_deg,dec_deg,t0_utc,t0_met,t0_precision,in_fermi_era,time_type,time_value,time_scale,redshift,dist_note,class,subclass,gold,radio_loud,xray_loud,spec_confirmed,sample_paper,coord_source,time_source,z_source,merged_from,verification,notes,tier,tier_note,timing_quality,min_window_s,tier_role
CSS161010,CRTS CSS161010 J045834-081803; no TNS/AT designation found (TNS internal-name search returned no results; it is NOT AT2016jbu),74.643317,-8.301097,2016-10-10T00:00:00.000,497750404.00,day,y,discovery,2016-10-10,UTC-ISO,0.0336,~150 Mpc (Coppejans+2020),LFBOT_gold,AT2018cow-like,y,y,y,y,Coppejans+2020 (arXiv:2003.10503); Gutierrez+2024 (arXiv:2408.04698),"VLA radio position RA=04:58:34.396+/-0.004 dec=-08:18:03.95+/-0.03 (Coppejans+2020, arXiv:2003.10503)",Discovered by CRTS on 2016 October 10 (Coppejans+2020); day precision only,Host spectroscopy z=0.0336+/-0.0011 (Coppejans+2020); Dong et al. z=0.034+/-0.001,gold_lfbots,VERIFIED,X-ray: Chandra Lx~5e39 erg/s. Radio: Lnu~1e29 erg/s/Hz peaking ~100 d; mildly relativistic outflow. Peak M_V=-20.66+/-0.06 in 3.8 d (Gutierrez+2024).,G1,secure engine LFBOT,day,100000,primary
AT2018cow,ATLAS18qqn; SN 2018cow,244.000934,22.268025,2018-06-16T10:35:38.000,550838143.00,subday,y,first_detection,2018-06-16T10:35:38,UTC-ISO,0.014145,"66+/-5 Mpc (Prentice+2018, H0=73); 62 Mpc used by Bietenholz+2020",LFBOT_gold,AT2018cow-like,y,y,y,y,Prentice+2018 (arXiv:1807.05965); Margutti+2019 (arXiv:1810.10720); Perley+2019 (arXiv:1808.00969),"VLBI radio position, Bietenholz+2020 MNRAS (arXiv:1911.08778); TNS: 244.000917 +22.268031",ATLAS first detection MJD 58285.44141 (Prentice+2018); TNS discovery timestamp 2018-06-16 10:35:02,SDSS host spectrum of CGCG 137-068 (Prentice+2018); TNS z=0.014,gold_lfbots,VERIFIED,Prototype LFBOT. X-ray: luminous variable soft X-rays + hard >10 keV component (Margutti+2019). Radio: bright radio/mm (Margutti+2019). Explosion epoch MJD 58284.3; ASAS-SN non-detection MJD 58284.13 (Prentice+2018). TNS type SN Ic-BL.,G1,secure engine LFBOT,subday,10,primary
AT2018lug,ZTF18abvkwla; Koala,30.063307,16.799255,2018-09-12T09:46:48.000,558438413.00,subday,y,first_detection,2018-09-12T09:46:48,UTC-ISO,0.2714,,LFBOT_gold,AT2018cow-like,y,y,n,y,Ho+2020 (arXiv:2003.01222),TNS (ZTF); paper position 02h00m15.19s +16d47m57.3s (Ho+2020),ZTF first detection MJD 58373.4075 = 2018-09-12 09:46:48.00 (Ho+2020); same as TNS discovery timestamp; last non-detection MJD 58372.4206,Host emission lines z=0.2714 (Ho+2020); TNS host z 0.2714,gold_lfbots;ho23_ztf,VERIFIED,"Radio: VLA 10 GHz 0.364+/-0.006 mJy at dt~81 d; nuLnu>~1e40 erg/s. X-ray: none - 'X-ray observations, which were not obtained for ZTF18abvkwla' (Ho+2020); radio-loud only.",G1,secure engine LFBOT,subday,10,primary
AT2020mrf,ZTF20abfhyil; ATLAS20paa; SRGe J154754.2+443907; SN 2020mrf (TNS),236.975679,44.652059,2020-06-12T06:14:12.000,613635257.00,subday,y,first_detection,2020-06-12T06:14:12,UTC-ISO,0.1353,,LFBOT_gold,AT2018cow-like,y,y,y,y,Yao+2022 (arXiv:2112.00751),TNS; ZTF median alert position 15h47m54.17s +44d39m07.34s (Yao+2022); Chandra X-ray position 15h47m54.18s +44d39m07.16s,ZTF first detection 2020-06-12T06:14:12 = MJD 59012.2599 (Yao+2022); TNS discovery timestamp (ATLAS report) 2020-06-15 08:55:40.8; last non-detection MJD 59011.4252,Host emission-line fit z=0.1353+/-0.0002 (Yao+2022); TNS z=0.058809 is WRONG-host value from initial SNII classification report - see notes,gold_lfbots,VERIFIED,"X-ray: SRG/eROSITA Lx~2e43 erg/s at 35-37 d; Chandra Lx~1e42 at 328 d. Radio: nuLnu=1.2e39 erg/s at rest 7.4 GHz, 261 d (Yao+2022). TNS page z (0.0588) and SNII type stem from early misclassification vs 2MASX galaxy 129 kpc away; adopt Yao+2022.",G1,secure engine LFBOT,subday,10,primary
AT2020xnd,ZTF20acigmel; Camel,335.008458,-2.840361,2020-10-12T04:06:03.000,624168368.00,subday,y,discovery,2020-10-12T04:06:03,UTC-ISO,0.2433,,LFBOT_gold,AT2018cow-like,y,y,y,y,Perley+2021 (arXiv:2103.01968); Ho+2022 (arXiv:2110.05490); Bright+2022 (arXiv:2110.05514),TNS (ZTF),"TNS discovery timestamp 2020-10-12 04:06:03.168 (ZTF real-time discovery, Perley+2021)","z=0.2433 (Ho+2022, arXiv:2110.05490); z=0.243 (Perley+2021)",gold_lfbots;ho23_ztf,VERIFIED,"Radio/mm: Lnu~2e30 erg/s/Hz at 100 GHz (Ho+2022). X-ray: Lx~1e43 erg/s (Ho+2022). 'extremely luminous radio, millimetre, and X-ray emission' (Perley+2021).",G1,secure engine LFBOT,subday,10,primary
AT2022tsd,ZTF22abftjko; Tasmanian devil,50.045264,8.748787,2022-09-07T11:21:22.000,684242487.00,subday,y,discovery,2022-09-07T11:21:22,UTC-ISO,0.256,,LFBOT_gold,AT2018cow-like,y,y,y,y,Ho+2023 Nature (arXiv:2311.10195); Matthews+2023 RNAAS (arXiv:2306.01114),TNS (ZTF/ALeRCE): 50.0452635724 +8.748787337,TNS discovery timestamp 2022-09-07 11:21:22 (ZTF); AstroNote 2022-199: 'on 2022 Sep. 7 UT by ZTF at r = 20.36',"Keck/LRIS: galaxy at z=0.256 (TNS AstroNote 2022-199, Ho et al.); Nature paper z=0.2564",gold_lfbots,VERIFIED,"X-ray: Swift 4.8e-13 erg/cm2/s (AstroNote 2022-207); Lx~1e44 erg/s, most luminous FBOT (Matthews+2023). Radio: VLA Ku-band detection (AstroNote 2022-205, referenced in 2022-207). Minutes-duration optical flares (Ho+2023).",G1,secure engine LFBOT,subday,10,primary
AT2022abfc,ZTF22abvrxkk,72.829987,-26.978222,2022-11-21T08:15:22.000,690711327.00,subday,y,discovery,2022-11-21T08:15:22,UTC-ISO,0.212,,LFBOT_gold,AT2018cow-like,y,y,n,y,Sevilla+2026 (arXiv:2601.18926),TNS (ZTF): 72.8299871 -26.9782216,TNS discovery timestamp 2022-11-21 08:15:21.600 (ZTF),Sevilla+2026 (arXiv:2601.18926) Table 1,gold_lfbots;ho23_ztf;recent_sweep,VERIFIED,"Radio: VLA detections at 3/6/10/16/33 GHz; GMRT non-detection (Sevilla+2026). X-ray: Swift XRT non-detection, upper limits only (Sevilla+2026). Spectroscopic confirmation of z not independently verified.",G1,secure engine LFBOT,subday,10,primary
AT2023fhn,ZTF23aaeozpp; ATLAS23hnk; Finch,152.015897,21.074153,2023-04-10T04:53:46.000,702795231.00,subday,y,discovery,2023-04-10T04:53:46,UTC-ISO,0.238,,LFBOT_gold,AT2018cow-like,y,y,y,y,Chrimes+2024 MNRASL (arXiv:2307.01771); Chrimes+2024b (arXiv:2406.13821),TNS (ZTF): 152.0158965 +21.0741526,TNS discovery timestamp 2023-04-10 04:53:45.600 (ZTF); Sevilla+2026 Table 1 lists 2023-04-12 05:22:39,z=0.238 adopted in Chrimes+2024b (arXiv:2406.13821); 'both at a redshift of 0.24' (Chrimes+2024 MNRASL),gold_lfbots;ho23_ztf,VERIFIED,"X-ray: Chandra detection, flux (7.6+2.2-1.8)e-15 erg/s/cm2 at ~15 d (Chrimes+2024b); Swift non-detection (Sevilla+2026). Radio: VLA + GMRT detections (Sevilla+2026); 87.6 GHz 110+/-8 uJy (Chrimes+2024b). Large offset >3.5 half-light radii from nearest galaxies.",G1,secure engine LFBOT,subday,10,primary
AT2023hkw,ZTF23aaimsja,160.573965,52.488702,2023-05-01T04:46:34.000,704609199.00,subday,y,discovery,2023-05-01T04:46:34,UTC-ISO,0.339,z=0.343 in Jayaraman+2026 census,LFBOT_gold,AT2018cow-like,y,y,n,y,Sevilla+2026 (arXiv:2601.18926),TNS (ZTF): 160.5739646 +52.4887015,TNS discovery timestamp 2023-05-01 04:46:33.600 (ZTF); Sevilla+2026 Table 1 lists 2023-04-30 04:08:52 (discrepancy noted),Sevilla+2026 (arXiv:2601.18926) Table 1,gold_lfbots;ho23_ztf;recent_sweep,VERIFIED,"Radio: VLA detections at multiple frequencies; GMRT non-detection (Sevilla+2026). X-ray: Swift XRT non-detection, upper limits only. Highest-z gold LFBOT. Spectroscopic confirmation of z not independently verified.",G1,secure engine LFBOT,subday,10,primary
AT2023vth,ZTF23ableqsp,269.143338,8.043701,2023-10-18T02:47:02.000,719290027.00,subday,y,discovery,2023-10-18T02:47:02,UTC-ISO,0.0747,,LFBOT_gold,AT2018cow-like,y,y,n,y,Sevilla+2026 (arXiv:2601.18926),TNS (ZTF): 269.1433378 +8.0437008,TNS discovery timestamp 2023-10-18 02:47:02.400 (ZTF); Sevilla+2026 Table 1 lists 2023-10-20 03:08:39 (discrepancy noted),TNS z=0.0747 (classified FBOT on TNS 2023-11-21); Sevilla+2026 Table 1 z=0.0747,gold_lfbots;ho23_ztf;recent_sweep,VERIFIED,"TNS classification: FBOT. Radio: VLA + GMRT + NOEMA detections (Sevilla+2026). X-ray: Swift XRT non-detection, upper limits only.",G1,secure engine LFBOT,subday,10,primary
